time	V(vout)
3.609915625074736e-03	-1.729069e-02
3.619681250074736e-03	-5.555044e-02
3.624564062574736e-03	-7.483646e-02
3.629446875074735e-03	-9.419610e-02
3.634329687574735e-03	-1.136065e-01
3.639212500074735e-03	-1.330446e-01
3.644095312574735e-03	-1.524873e-01
3.648978125074735e-03	-1.719111e-01
3.653860937574735e-03	-1.912923e-01
3.658743750074735e-03	-2.106060e-01
3.663626562574735e-03	-2.298266e-01
3.668509375074735e-03	-2.489262e-01
3.673392187574735e-03	-2.678745e-01
3.678275000074734e-03	-2.866369e-01
3.683157812574734e-03	-3.051726e-01
3.688040625074734e-03	-3.234324e-01
3.692923437574734e-03	-3.413547e-01
3.697806250074734e-03	-3.588617e-01
3.702689062574734e-03	-3.758548e-01
3.707571875074734e-03	-3.922099e-01
3.712454687574734e-03	-4.077758e-01
3.717337500074734e-03	-4.223766e-01
3.722220312574734e-03	-4.358221e-01
3.727103125074733e-03	-4.479279e-01
3.731985937574733e-03	-4.585432e-01
3.741751562574733e-03	-4.750329e-01
3.746634375074733e-03	-4.809837e-01
3.751517187574733e-03	-4.855850e-01
3.756400000074733e-03	-4.890324e-01
3.761282812574733e-03	-4.915335e-01
3.766165625074733e-03	-4.932835e-01
3.771048437574732e-03	-4.944504e-01
3.775931250074732e-03	-4.951697e-01
3.780814062574732e-03	-4.955455e-01
3.785696875074732e-03	-4.956551e-01
3.790579687574732e-03	-4.955541e-01
3.795462500074732e-03	-4.952818e-01
3.800345312574732e-03	-4.948654e-01
3.805228125074732e-03	-4.943233e-01
3.810110937574732e-03	-4.936677e-01
3.819876562574731e-03	-4.920433e-01
3.834525000074731e-03	-4.888588e-01
3.844290625074731e-03	-4.862284e-01
3.854056250074731e-03	-4.831648e-01
3.863821875074730e-03	-4.796315e-01
3.873587500074730e-03	-4.755822e-01
3.883353125074730e-03	-4.709594e-01
3.893118750074730e-03	-4.656939e-01
3.902884375074730e-03	-4.597034e-01
3.912650000074729e-03	-4.528908e-01
3.922415625074729e-03	-4.451435e-01
3.927298437574729e-03	-4.408797e-01
3.937064062574729e-03	-4.314844e-01
3.941946875074729e-03	-4.263154e-01
3.946829687574729e-03	-4.208061e-01
3.951712500074729e-03	-4.149362e-01
3.956595312574729e-03	-4.086857e-01
3.961478125074728e-03	-4.020343e-01
3.966360937574728e-03	-3.949625e-01
3.971243750074728e-03	-3.874516e-01
3.976126562574728e-03	-3.794839e-01
3.981009375074728e-03	-3.710437e-01
3.985892187574728e-03	-3.621168e-01
3.990775000074728e-03	-3.526919e-01
3.995657812574728e-03	-3.427597e-01
4.000540625074728e-03	-3.323142e-01
4.005423437574727e-03	-3.213519e-01
4.010306250074727e-03	-3.098726e-01
4.015189062574727e-03	-2.978788e-01
4.020071875074727e-03	-2.853758e-01
4.024954687574727e-03	-2.723716e-01
4.029837500074727e-03	-2.588767e-01
4.034720312574727e-03	-2.449034e-01
4.039603125074727e-03	-2.304663e-01
4.044485937574727e-03	-2.155813e-01
4.049368750074727e-03	-2.002657e-01
4.054251562574726e-03	-1.845382e-01
4.059134375074726e-03	-1.684182e-01
4.064017187574726e-03	-1.519259e-01
4.068900000074726e-03	-1.350822e-01
4.073782812574726e-03	-1.179082e-01
4.078665625074726e-03	-1.004259e-01
4.083548437574726e-03	-8.265701e-02
4.093314062574726e-03	-4.634897e-02
4.098196875074725e-03	-2.785471e-02
4.103079687574725e-03	-9.163786e-03
