Freq.	V(rc)
1.19250887233066e+00	4.14461084018494e-03,3.70003426984553e-02
1.19333574303176e+00	4.15028881126581e-03,3.70253603835563e-02
1.19416318707462e+00	4.15597446264989e-03,3.70503941098636e-02
1.19499120485682e+00	4.16166780446179e-03,3.70754438858579e-02
1.19581979677616e+00	4.16736884684364e-03,3.71005097200199e-02
1.19664896323075e+00	4.17307759992866e-03,3.71255916208321e-02
1.19747870461896e+00	4.17879407386758e-03,3.71506895967770e-02
1.19830902133945e+00	4.18451827884963e-03,3.71758036563336e-02
1.19913991379115e+00	4.19025022505071e-03,3.72009338079889e-02
1.19997138237325e+00	4.19598992265299e-03,3.72260800602261e-02
1.20080342748524e+00	4.20173738187258e-03,3.72512424215298e-02
1.20163604952689e+00	4.20749261294313e-03,3.72764209003837e-02
1.20246924889821e+00	4.21325562607370e-03,3.73016155052763e-02
1.20330302599954e+00	4.21902643152767e-03,3.73268262446899e-02
1.20413738123145e+00	4.22480503954991e-03,3.73520531271159e-02
1.20497231499482e+00	4.23059146042847e-03,3.73772961610363e-02
1.20580782769080e+00	4.23638570443831e-03,3.74025553549429e-02
1.20664391972080e+00	4.24218778186606e-03,3.74278307173229e-02
1.20748059148653e+00	4.24799770303774e-03,3.74531222566639e-02
1.20831784338998e+00	4.25381547827078e-03,3.74784299814571e-02
1.20915567583340e+00	4.25964111788928e-03,3.75037539001921e-02
1.20999408921933e+00	4.26547463226198e-03,3.75290940213565e-02
1.21083308395059e+00	4.27131603173842e-03,3.75544503534434e-02
1.21167266043028e+00	4.27716532669102e-03,3.75798229049434e-02
1.21251281906177e+00	4.28302252749968e-03,3.76052116843499e-02
1.21335356024873e+00	4.28888764458311e-03,3.76306167001511e-02
1.21419488439508e+00	4.29476068833032e-03,3.76560379608429e-02
1.21503679190505e+00	4.30064166919071e-03,3.76814754749154e-02
1.21587928318313e+00	4.30653059758886e-03,3.77069292508622e-02
1.21672235863411e+00	4.31242748397849e-03,3.77323992971795e-02
1.21756601866302e+00	4.31833233881436e-03,3.77578856223591e-02
1.21841026367523e+00	4.32424517258620e-03,3.77833882348968e-02
1.21925509407634e+00	4.33016599578493e-03,3.78089071432852e-02
1.22010051027226e+00	4.33609481890379e-03,3.78344423560209e-02
1.22094651266917e+00	4.34203165245923e-03,3.78599938815985e-02
1.22179310167354e+00	4.34797650699199e-03,3.78855617285172e-02
1.22264027769211e+00	4.35392939303748e-03,3.79111459052661e-02
1.22348804113190e+00	4.35989032114051e-03,3.79367464203484e-02
1.22433639240024e+00	4.36585930188978e-03,3.79623632822571e-02
1.22518533190472e+00	4.37183634584897e-03,3.79879964994888e-02
1.22603486005320e+00	4.37782146361966e-03,3.80136460805439e-02
1.22688497725384e+00	4.38381466580701e-03,3.80393120339167e-02
1.22773568391510e+00	4.38981596304073e-03,3.80649943681069e-02
1.22858698044569e+00	4.39582536594064e-03,3.80906930916099e-02
1.22943886725462e+00	4.40184288516228e-03,3.81164082129272e-02
1.23029134475118e+00	4.40786853136492e-03,3.81421397405553e-02
1.23114441334496e+00	4.41390231521563e-03,3.81678876829938e-02
1.23199807344580e+00	4.41994424741043e-03,3.81936520487400e-02
1.23285232546385e+00	4.42599433863682e-03,3.82194328462954e-02
1.23370716980954e+00	4.43205259962188e-03,3.82452300841563e-02
1.23456260689358e+00	4.43811904108154e-03,3.82710437708243e-02
1.23541863712697e+00	4.44419367375253e-03,3.82968739147987e-02
1.23627526092099e+00	4.45027650840369e-03,3.83227205245779e-02
1.23713247868721e+00	4.45636755578379e-03,3.83485836086616e-02
1.23799029083749e+00	4.46246682667707e-03,3.83744631755523e-02
1.23884869778395e+00	4.46857433188003e-03,3.84003592337481e-02
1.23970769993903e+00	4.47469008219119e-03,3.84262717917481e-02
1.24056729771543e+00	4.48081408843094e-03,3.84522008580550e-02
1.24142749152615e+00	4.48694636144589e-03,3.84781464411678e-02
1.24228828178448e+00	4.49308691205711e-03,3.85041085495870e-02
1.24314966890398e+00	4.49923575114831e-03,3.85300871918114e-02
1.24401165329851e+00	4.50539288957288e-03,3.85560823763465e-02
1.24487423538221e+00	4.51155833822355e-03,3.85820941116883e-02
1.24573741556952e+00	4.51773210799858e-03,3.86081224063381e-02
1.24660119427514e+00	4.52391420982328e-03,3.86341672687974e-02
1.24746557191409e+00	4.53010465459982e-03,3.86602287075676e-02
1.24833054890166e+00	4.53630345329039e-03,3.86863067311472e-02
1.24919612565342e+00	4.54251061682885e-03,3.87124013480372e-02
1.25006230258525e+00	4.54872615619862e-03,3.87385125667393e-02
1.25092908011331e+00	4.55495008237333e-03,3.87646403957516e-02
1.25179645865404e+00	4.56118240634366e-03,3.87907848435790e-02
1.25266443862417e+00	4.56742313911488e-03,3.88169459187176e-02
1.25353302044074e+00	4.57367229172020e-03,3.88431236296682e-02
1.25440220452104e+00	4.57992987517545e-03,3.88693179849332e-02
1.25527199128269e+00	4.58619590053726e-03,3.88955289930118e-02
1.25614238114357e+00	4.59247037887821e-03,3.89217566624026e-02
1.25701337452187e+00	4.59875332125640e-03,3.89480010016065e-02
1.25788497183606e+00	4.60504473876849e-03,3.89742620191242e-02
1.25875717350490e+00	4.61134464251293e-03,3.90005397234549e-02
1.25962997994745e+00	4.61765304360418e-03,3.90268341230971e-02
1.26050339158303e+00	4.62396995318689e-03,3.90531452265492e-02
1.26137740883130e+00	4.63029538237742e-03,3.90794730423132e-02
1.26225203211216e+00	4.63662934235801e-03,3.91058175788852e-02
1.26312726184585e+00	4.64297184429117e-03,3.91321788447654e-02
1.26400309845285e+00	4.64932289935234e-03,3.91585568484516e-02
1.26487954235398e+00	4.65568251874218e-03,3.91849515984446e-02
1.26575659397033e+00	4.66205071368221e-03,3.92113631032389e-02
1.26663425372327e+00	4.66842749538835e-03,3.92377913713337e-02
1.26751252203447e+00	4.67481287511221e-03,3.92642364112255e-02
1.26839139932591e+00	4.68120686408526e-03,3.92906982314136e-02
1.26927088601985e+00	4.68760947359158e-03,3.93171768403935e-02
1.27015098253884e+00	4.69402071491182e-03,3.93436722466615e-02
1.27103168930571e+00	4.70044059933193e-03,3.93701844587157e-02
1.27191300674362e+00	4.70686913815944e-03,3.93967134850514e-02
1.27279493527599e+00	4.71330634272385e-03,3.94232593341630e-02
1.27367747532655e+00	4.71975222435434e-03,3.94498220145474e-02
1.27456062731931e+00	4.72620679441605e-03,3.94764015346989e-02
1.27544439167859e+00	4.73267006424795e-03,3.95029979031124e-02
1.27632876882900e+00	4.73914204524518e-03,3.95296111282819e-02
1.27721375919544e+00	4.74562274879648e-03,3.95562412187008e-02
1.27809936320310e+00	4.75211218631288e-03,3.95828881828632e-02
1.27898558127748e+00	4.75861036919325e-03,3.96095520292626e-02
1.27987241384436e+00	4.76511730889840e-03,3.96362327663902e-02
1.28075986132982e+00	4.77163301685731e-03,3.96629304027390e-02
1.28164792416024e+00	4.77815750453538e-03,3.96896449468008e-02
1.28253660276230e+00	4.78469078340877e-03,3.97163764070670e-02
1.28342589756295e+00	4.79123286496434e-03,3.97431247920277e-02
1.28431580898948e+00	4.79778376071702e-03,3.97698901101731e-02
1.28520633746942e+00	4.80434348216978e-03,3.97966723699937e-02
1.28609748343065e+00	4.81091204086481e-03,3.98234715799778e-02
1.28698924730132e+00	4.81748944833812e-03,3.98502877486147e-02
1.28788162950988e+00	4.82407571615963e-03,3.98771208843929e-02
1.28877463048507e+00	4.83067085589562e-03,3.99039709958002e-02
1.28966825065594e+00	4.83727487914311e-03,3.99308380913218e-02
1.29056249045183e+00	4.84388779749905e-03,3.99577221794456e-02
1.29145735030239e+00	4.85050962256823e-03,3.99846232686585e-02
1.29235283063754e+00	4.85714036600335e-03,4.00115413674429e-02
1.29324893188754e+00	4.86378003943403e-03,4.00384764842851e-02
1.29414565448291e+00	4.87042865452104e-03,4.00654286276705e-02
1.29504299885448e+00	4.87708622294426e-03,4.00923978060805e-02
1.29594096543339e+00	4.88375275638636e-03,4.01193840279994e-02
1.29683955465106e+00	4.89042826654617e-03,4.01463873019069e-02
1.29773876693924e+00	4.89711276514874e-03,4.01734076362866e-02
1.29863860272994e+00	4.90380626391504e-03,4.02004450396178e-02
1.29953906245549e+00	4.91050877458609e-03,4.02274995203816e-02
1.30044014654853e+00	4.91722030893693e-03,4.02545710870565e-02
1.30134185544199e+00	4.92394087872757e-03,4.02816597481210e-02
1.30224418956908e+00	4.93067049574956e-03,4.03087655120536e-02
1.30314714936335e+00	4.93740917180220e-03,4.03358883873300e-02
1.30405073525861e+00	4.94415691870517e-03,4.03630283824283e-02
1.30495494768901e+00	4.95091374828869e-03,4.03901855058225e-02
1.30585978708897e+00	4.95767967240306e-03,4.04173597659875e-02
1.30676525389323e+00	4.96445470289221e-03,4.04445511713974e-02
1.30767134853681e+00	4.97123885163741e-03,4.04717597305254e-02
1.30857807145507e+00	4.97803213053382e-03,4.04989854518426e-02
1.30948542308362e+00	4.98483455147946e-03,4.05262283438225e-02
1.31039340385842e+00	4.99164612638298e-03,4.05534884149343e-02
1.31130201421570e+00	4.99846686718480e-03,4.05807656736473e-02
1.31221125459202e+00	5.00529678583371e-03,4.06080601284304e-02
1.31312112542421e+00	5.01213589428079e-03,4.06353717877511e-02
1.31403162714943e+00	5.01898420450911e-03,4.06627006600776e-02
1.31494276020513e+00	5.02584172850669e-03,4.06900467538746e-02
1.31585452502907e+00	5.03270847827314e-03,4.07174100776081e-02
1.31676692205930e+00	5.03958446583366e-03,4.07447906397412e-02
1.31767995173420e+00	5.04646970321911e-03,4.07721884487376e-02
1.31859361449242e+00	5.05336420248012e-03,4.07996035130583e-02
1.31950791077295e+00	5.06026797567313e-03,4.08270358411656e-02
1.32042284101506e+00	5.06718103486870e-03,4.08544854415205e-02
1.32133840565832e+00	5.07410339217764e-03,4.08819523225795e-02
1.32225460514263e+00	5.08103505969637e-03,4.09094364928030e-02
1.32317143990818e+00	5.08797604954674e-03,4.09369379606467e-02
1.32408891039546e+00	5.09492637385935e-03,4.09644567345674e-02
1.32500701704527e+00	5.10188604479343e-03,4.09919928230181e-02
1.32592576029872e+00	5.10885507450841e-03,4.10195462344545e-02
1.32684514059722e+00	5.11583347518661e-03,4.10471169773296e-02
1.32776515838250e+00	5.12282125903004e-03,4.10747050600914e-02
1.32868581409657e+00	5.12981843823262e-03,4.11023104911948e-02
1.32960710818177e+00	5.13682502503114e-03,4.11299332790860e-02
1.33052904108075e+00	5.14384103165665e-03,4.11575734322144e-02
1.33145161323643e+00	5.15086647036916e-03,4.11852309590263e-02
1.33237482509208e+00	5.15790135343153e-03,4.12129058679686e-02
1.33329867709126e+00	5.16494569312931e-03,4.12405981674832e-02
1.33422316967783e+00	5.17199950176357e-03,4.12683078660170e-02
1.33514830329597e+00	5.17906279164855e-03,4.12960349720080e-02
1.33607407839016e+00	5.18613557510514e-03,4.13237794938998e-02
1.33700049540520e+00	5.19321786448021e-03,4.13515414401318e-02
1.33792755478617e+00	5.20030967213485e-03,4.13793208191408e-02
1.33885525697850e+00	5.20741101044504e-03,4.14071176393641e-02
