Freq.	V(rl)
1.27456062731931e+00	4.97604033546057e-01,-1.99364520789928e-02
1.27544439167859e+00	4.97600791154990e-01,-1.99498864483642e-02
1.27632876882900e+00	4.97597544393844e-01,-1.99633293379810e-02
1.27721375919544e+00	4.97594293256899e-01,-1.99767807521131e-02
1.27809936320310e+00	4.97591037738443e-01,-1.99902406951332e-02
1.27898558127748e+00	4.97587777832733e-01,-2.00037091710889e-02
1.27987241384436e+00	4.97584513534046e-01,-2.00171861846261e-02
1.28075986132982e+00	4.97581244836630e-01,-2.00306717398189e-02
1.28164792416024e+00	4.97577971734739e-01,-2.00441658410203e-02
1.28253660276230e+00	4.97574694222620e-01,-2.00576684925431e-02
1.28342589756295e+00	4.97571412294499e-01,-2.00711796986590e-02
1.28431580898948e+00	4.97568125944614e-01,-2.00846994638131e-02
1.28520633746942e+00	4.97564835167184e-01,-2.00982277921265e-02
1.28609748343065e+00	4.97561539956422e-01,-2.01117646880340e-02
1.28698924730132e+00	4.97558240306531e-01,-2.01253101557176e-02
1.28788162950988e+00	4.97554936211730e-01,-2.01388641996038e-02
1.28877463048507e+00	4.97551627666205e-01,-2.01524268239002e-02
1.28966825065594e+00	4.97548314664129e-01,-2.01659980330212e-02
1.29056249045183e+00	4.97544997199696e-01,-2.01795778312016e-02
1.29145735030239e+00	4.97541675267076e-01,-2.01931662225995e-02
1.29235283063754e+00	4.97538348860424e-01,-2.02067632117917e-02
1.29324893188754e+00	4.97535017973901e-01,-2.02203688028915e-02
1.29414565448291e+00	4.97531682601678e-01,-2.02339830002207e-02
1.29504299885448e+00	4.97528342737883e-01,-2.02476058081642e-02
1.29594096543339e+00	4.97524998376665e-01,-2.02612372309627e-02
1.29683955465106e+00	4.97521649512121e-01,-2.02748772728838e-02
1.29773876693924e+00	4.97518296138413e-01,-2.02885259383374e-02
1.29863860272994e+00	4.97514938249630e-01,-2.03021832315108e-02
1.29953906245549e+00	4.97511575839886e-01,-2.03158491566601e-02
1.30044014654853e+00	4.97508208903295e-01,-2.03295237182839e-02
1.30134185544199e+00	4.97504837433933e-01,-2.03432069205203e-02
1.30224418956908e+00	4.97501461425903e-01,-2.03568987677169e-02
1.30314714936335e+00	4.97498080873263e-01,-2.03705992641429e-02
1.30405073525861e+00	4.97494695770113e-01,-2.03843084141369e-02
1.30495494768901e+00	4.97491306110499e-01,-2.03980262219935e-02
1.30585978708897e+00	4.97487911888487e-01,-2.04117526920752e-02
1.30676525389323e+00	4.97484513098116e-01,-2.04254878284903e-02
1.30767134853681e+00	4.97481109733439e-01,-2.04392316356265e-02
1.30857807145507e+00	4.97477701788484e-01,-2.04529841178653e-02
1.30948542308362e+00	4.97474289257303e-01,-2.04667452794439e-02
1.31039340385842e+00	4.97470872133894e-01,-2.04805151245557e-02
1.31130201421570e+00	4.97467450412275e-01,-2.04942936576029e-02
1.31221125459202e+00	4.97464024086459e-01,-2.05080808829124e-02
1.31312112542421e+00	4.97460593150432e-01,-2.05218768046629e-02
1.31403162714943e+00	4.97457157598211e-01,-2.05356814272431e-02
1.31494276020513e+00	4.97453717423763e-01,-2.05494947549271e-02
1.31585452502907e+00	4.97450272621074e-01,-2.05633167919509e-02
1.31676692205930e+00	4.97446823184110e-01,-2.05771475426852e-02
1.31767995173420e+00	4.97443369106839e-01,-2.05909870113907e-02
1.31859361449242e+00	4.97439910383205e-01,-2.06048352023923e-02
1.31950791077295e+00	4.97436447007167e-01,-2.06186921199051e-02
1.32042284101506e+00	4.97432978972668e-01,-2.06325577681386e-02
